Artist(s),Vital Dates,Painting,Location,Indiana Artist,Brown County Artist,Hoosier Group,Creation Date
John Domont,present,Autumn Morning,,Yes,,,1994
J. Ottis Adams ,1851-1927,Brookville Scene,,Yes,Yes,Yes,
Christine Ardelean ,,Grand Canyon Vista,2nd Floor,Yes,,No,1996
A. Austen (Alexander?) ,,The Latest News,Dining Room,,,No,
Dale Bessire ,1892-1974,Road into The Hills,,Yes,,No,
Brauer,,November Woods,4th floor hallway,,,No,
Robert (Bob) Brubaker ,1921-present,Blue Lake,,,,No,
Mark Burkett,,Cataract Falls,2nd Floor,,,,1999
V.J. Cariani ,1891-1969,Across the Hills,,,Yes,No,
V.J. Cariani ,1891-1969,Old Barn,4th floor hallway,,Yes,No,
"Y?sh? Chikanobu
 (Toyohara Chikanobu)",,Wood Block Prints ,,No,No,No,1890s
"Aurelia Colonesco/
Steve Redmond ",,After Vigorous New World,,,,No,
Harry A Davis ,1914-2006,Glen L. Cain Milk-Fed Poultry,4th floor hallway,Yes,Yes,No,
Jean Dufy,1888-1964,Bouquet de Fleurs,2nd Floor stairs,No,No,No,1926
William Eyden ,,Road in Autumn,4th floor hallway,Yes,,No,
William Forsyth ,1854-1935,Melting Snow,3rd floor gallery,Yes,Yes,Yes,
Edgar Freyberg ,1927-present,Harbor Scene,4th floor hallway,,,No,
Carl C. Graf ,1892-1947,Summer Landscape,,Yes,Yes,No,
Carl C. Graf ,1892-1947,Brown County Cabin,,Yes,Yes,No,
Richard B. Gruelle ,1851-1914,Untitled Landscape,,Yes,Yes,Yes,
Richard B. Gruelle ,1851-1914,Canal and Lady,,Yes,Yes,Yes,
Randall Hardin ,,Rural Inspiration,,Yes,,No,
John Wesley Hardick,,Landscape,4th floor hallway,Yes,,,
"Glen C. Henshaw 
(Hinshaw)",1884-1946,Christ Church on Monument Circle,1st floor lobby,Yes,,No,
Floyd D Hopper ,1909-1984,My Back Yard,2nd Floor,Yes,,No,
Andre Ingres,1938-present,,,No,No,No,
John Washington Love,1850-1880,Still Life,,Yes,,,
David Lord,,Nigel?s Last Obstacle,,,,,
Wilbur Meese ,1910-1998,Farm Scene ,4th floor hallway,Yes,,No,
Wilbur Meese ,1910-1998,Primitive Farm,4th floor hallway,Yes,,No,
"Alexander Mueler 
Muenchen",,,4th floor lobby,,,,1926
Juan Pablo Mu¤oz,1953-present,,,No,No,No,
William H Ober ,,Farm Scene,4th floor hallway,,,No,
William H Ober ,,Snow Scene with Stream,4th floor hallway,,,No,
S.A. Palewicz ,,Pines and Distant Cold,,No,No,No,
Steve Polomchak ,1922-1996,Three Little Boats,,Yes,No,No,
F. Preimeg,,European Mountain,,No,No,No,
Sasson,,Fleet of Sailing Ships,,,,,
Saudin,,European Mountain,,,,,
Jerry Smith,1944-present,Autumn Hills,4th floor hallway,Yes,,No,
Otto Stark ,1859-1926,Suzanne in the Garden with Azaleas,3rd floor gallery,Yes,Yes,Yes,
T.C. Steele ,1847-1926,Brown County Hills,,Yes,Yes,Yes,
Stenton,,,4th floor hallway,,,,
W. Ray Stevens,1924-2008,Strictly Oriental  ,,Yes,,No,
Von Williamson ,1924-2002,New Morning,,Yes,,No,1998
,,Winter Beach Wood,,,,,
Clifton Wheeler ,1883-1953,Landscape,4th floor stairs,Yes,,,
Clifton Wheeler ,1883-1953,The Top of Mt Leconti Great Smokies,,Yes,,No,
Carl Zimmerman ,1900-1985,Tranquility,4th floor hallway,Yes,,No,
